"","id_spotify","score","title_rs","title_sp","artist_rs","artist_sp"
"16452",92102,0.4,"Since U Been Gone","Walk Away","Kelly Clarkson","['Kelly Clarkson']"
"16453",92114,0.340909090909091,"American Idiot","Whatsername","Green Day","['Green Day']"
"16454",92115,0.358208955223881,"Cant Help Falling in Love","Can't Help Falling in Love","Elvis Presley","['Michael Bublé']"
"16455",92166,0.348837209302326,"American Idiot","Homecoming","Green Day","['Green Day']"
"16456",92167,0.303030303030303,"In Bloom","Sappy","Nirvana","['Nirvana']"
"16457",92180,0.392857142857143,"Seven Nation Army","My Doorbell","The White Stripes","['The White Stripes']"
"16458",92198,0.317073170731707,"Clocks","Til Kingdom Come","Coldplay","['Coldplay']"
"16459",92224,0.306122448979592,"Young Blood","Charlie Brown","The Coasters","['The Coasters']"
"16460",92261,0.416666666666667,"Jesus Walks","Late","Kanye West","['Kanye West']"
"16461",92268,0.360655737704918,"Seven Nation Army","The Denial Twist","The White Stripes","['The White Stripes']"
"16462",92315,0.333333333333333,"Call Me","Rapture","Blondie","['Blondie']"
"16463",92343,0.425,"Last Nite","Razorblade","The Strokes","['The Strokes']"
"16464",92359,0.461538461538462,"La Bamba","Donna","Ritchie Valens","['Ritchie Valens']"
"16465",92366,0.355555555555556,"Fire and Rain","Our Town","James Taylor","['James Taylor']"
"16466",92410,0.787234042553192,"Respect Yourself","Respect Yourself","The Staple Singers","['The Staple Singers']"
"16467",92410,0.323076923076923,"Ill Take You There","Respect Yourself","The Staple Singers","['The Staple Singers']"
"16468",92424,0.375,"Jesus Walks","Stronger","Kanye West","['Kanye West']"
"16469",92466,0.84,"Paper Planes","Paper Planes","M.I.A.","['M.I.A.']"
"16470",92484,0.5625,"Good Golly","Good Golly Miss Molly","Little Richard","['Little Richard']"
"16471",92484,0.5625,"Good Golly","Good Golly Miss Molly","Little Richard","['Little Richard']"
"16472",92492,0.317073170731707,"Clocks","Strawberry Swing","Coldplay","['Coldplay']"
"16473",93232,0.416666666666667,"Crying","Go Go Go","Roy Orbison","['Roy Orbison']"
"16474",93232,0.416666666666667,"Crying","Go Go Go","Roy Orbison","['Roy Orbison']"
"16475",93283,0.329113924050633,"(Were Gonna) Rock Around the Clock","Rudy's Rock","Bill Haley and His Comets","['Bill Haley & His Comets']"
"16476",93316,0.888888888888889,"I Walk the Line","I Walk the Line","Johnny Cash","['Johnny Cash']"
"16477",93317,0.357142857142857,"In Dreams","Ooby Dooby","Roy Orbison","['Roy Orbison']"
"16478",93317,0.384615384615385,"Crying","Ooby Dooby","Roy Orbison","['Roy Orbison']"
"16479",93317,0.384615384615385,"Crying","Ooby Dooby","Roy Orbison","['Roy Orbison']"
"16480",93317,0.428571428571429,"Oh","Ooby Dooby","Roy Orbison","['Roy Orbison']"
"16481",93349,0.354166666666667,"Blue Suede Shoes","Gone, Gone, Gone","Carl Perkins","['Carl Perkins']"
"16482",93349,0.354166666666667,"Blue Suede Shoes","Gone, Gone, Gone","Carl Perkins","['Carl Perkins']"
"16483",93360,0.333333333333333,"Johnny B. Goode","Deep Feeling","Chuck Berry","['Chuck Berry']"
"16484",93360,0.30188679245283,"Roll Over Beethoven","Deep Feeling","Chuck Berry","['Chuck Berry']"
"16485",93360,0.363636363636364,"Maybellene","Deep Feeling","Chuck Berry","['Chuck Berry']"
"16486",93360,0.30188679245283,"Roll Over Beethoven","Deep Feeling","Chuck Berry","['Chuck Berry']"
"16487",93416,0.333333333333333,"I Got a Woman","It's All Right","Ray Charles","['Ray Charles']"
"16488",93419,0.380952380952381,"Peggy Sue","Ting-A-Ling","Buddy Holly","['Buddy Holly']"
"16489",93445,0.30188679245283,"Roll Over Beethoven","Blue Feeling","Chuck Berry","['Chuck Berry']"
"16490",93445,0.30188679245283,"Roll Over Beethoven","Blue Feeling","Chuck Berry","['Chuck Berry']"
"16491",93445,0.363636363636364,"Maybellene","Blue Feeling","Chuck Berry","['Chuck Berry']"
"16492",93445,0.320754716981132,"Sweet Little Sixteen","Blue Feeling","Chuck Berry","['Chuck Berry']"
"16493",93445,0.361702127659574,"Johnny B. Goode","Blue Feeling","Chuck Berry","['Chuck Berry']"
"16494",93448,0.355555555555556,"I Got a Woman","Yes Indeed!","Ray Charles","['Ray Charles']"
"16495",93448,0.32,"Georgia on My Mind","Yes Indeed!","Ray Charles","['Ray Charles']"
"16496",93448,0.372093023255814,"What'd I Say","Yes Indeed!","Ray Charles","['Ray Charles']"
"16497",93457,0.404255319148936,"Lonely Teardrops","Etcetera","Jackie Wilson","['Jackie Wilson']"
"16498",93462,0.363636363636364,"I Got a Woman","Blackjack","Ray Charles","['Ray Charles']"
"16499",93462,0.422222222222222,"Hit the Road Jack","Blackjack","Ray Charles","['Ray Charles']"
"16500",93462,0.380952380952381,"What'd I Say","Blackjack","Ray Charles","['Ray Charles']"
"16501",93463,0.333333333333333,"Mack the Knife","Pretty Betty","Bobby Darin","['Bobby Darin']"
"16502",93466,0.355555555555556,"Ring of Fire","Pickin' Time","Johnny Cash","['Johnny Cash']"
"16503",93466,0.355555555555556,"Ring of Fire","Pickin' Time","Johnny Cash","['Johnny Cash']"
"16504",93466,0.307692307692308,"Folsom Prison Blues","Pickin' Time","Johnny Cash","['Johnny Cash']"
"16505",93476,0.56,"I Walk the Line","I Walk the Line (2017 Remaster)","Johnny Cash","['Johnny Cash']"
"16506",93493,0.306122448979592,"Ring of Fire","The Troubadour","Johnny Cash","['Johnny Cash']"
"16507",93493,0.306122448979592,"Ring of Fire","The Troubadour","Johnny Cash","['Johnny Cash']"
"16508",93494,0.36231884057971,"I Put a Spell on You","Orange Colored Sky","Screamin' Jay Hawkins","[""Screamin' Jay Hawkins""]"
"16509",93521,0.414634146341463,"What'd I Say","My Bonnie","Ray Charles","['Ray Charles']"
"16510",93521,0.363636363636364,"I Got a Woman","My Bonnie","Ray Charles","['Ray Charles']"
"16511",93521,0.306122448979592,"Hit the Road Jack","My Bonnie","Ray Charles","['Ray Charles']"
"16512",93524,0.305084745762712,"Jailhouse Rock","Doncha' Think It's Time","Elvis Presley","['Elvis Presley']"
"16513",93524,0.305084745762712,"Jailhouse Rock","Doncha' Think It's Time","Elvis Presley","['Elvis Presley']"
"16514",93524,0.310344827586207,"Dont Be Cruel","Doncha' Think It's Time","Elvis Presley","['Elvis Presley']"
"16515",93524,0.333333333333333,"Hound Dog","Doncha' Think It's Time","Elvis Presley","['Elvis Presley']"
"16516",93524,0.315789473684211,"All Shook Up","Doncha' Think It's Time","Elvis Presley","['Elvis Presley']"
